Stage,Date,Team A,Team B,A Score,B Score,Best of,Winner,Loser,Score,,,,,
IEM Road to Rio 2022 Europe RMR A,05 October 2022,sprout,spirit,16,12,1,sprout,spirit,14%,,,,,
IEM Road to Rio 2022 Europe RMR A,05 October 2022,faze,fnatic,19,17,1,faze,fnatic,6%,,,,,
IEM Road to Rio 2022 Europe RMR A,05 October 2022,nip,bne,16,7,1,nip,bne,39%,,,,,
IEM Road to Rio 2022 Europe RMR A,05 October 2022,c9,g2,16,13,1,c9,g2,10%,,,,,
IEM Road to Rio 2022 Europe RMR B,05 October 2022,fantasy,sangal,12,16,1,sangal,fantasy,14%,,,,,
IEM Road to Rio 2022 Europe RMR B,05 October 2022,Heet,k23,13,16,1,k23,Heet,10%,,,,,
IEM Road to Rio 2022 Europe RMR B,05 October 2022,monte,saw,16,3,1,monte,saw,68%,,,,,
IEM Road to Rio 2022 Europe RMR B,05 October 2022,og,illuminar,16,5,1,og,illuminar,52%,,,,,
IEM Road to Rio 2022 Europe RMR B,05 October 2022,falcons,ence,6,16,1,ence,falcons,45%,,,,,
IEM Road to Rio 2022 Europe RMR B,05 October 2022,big,Vitality,16,10,1,big,Vitality,23%,,,,,
IEM Road to Rio 2022 Europe RMR B,05 October 2022,heroic,outsiders,12,16,1,outsiders,heroic,14%,,,,,
IEM Road to Rio 2022 Europe RMR B,05 October 2022,navi,mouz,16,11,1,navi,mouz,19%,,,,,
IEM Road to Rio 2022 Americas RMR,05 October 2022,FURIA,infinity,16,2,1,FURIA,infinity,78%,,,,,
IEM Road to Rio 2022 Americas RMR,05 October 2022,pain,arctic,16,13,1,pain,arctic,10%,,,,,
IEM Road to Rio 2022 Americas RMR,05 October 2022,00Nation,9Z,16,19,1,9Z,00Nation,9%,,,,,
IEM Road to Rio 2022 Americas RMR,05 October 2022,mibr,o plano,16,9,1,mibr,o plano,28%,,,,,
IEM Road to Rio 2022 Americas RMR,05 October 2022,FURIA,eg,14,16,1,eg,FURIA,7%,,,,,
IEM Road to Rio 2022 Americas RMR,05 October 2022,liquid,mibr,14,16,1,mibr,liquid,7%,,,,,
IEM Road to Rio 2022 Americas RMR,05 October 2022,arctic,atk,11,16,1,atk,arctic,19%,,,,,
IEM Road to Rio 2022 Americas RMR,05 October 2022,o plano,teamone,16,10,1,o plano,teamone,23%,,,,,
IEM Road to Rio 2022 Americas RMR,05 October 2022,imperial,isurus,16,2,1,imperial,isurus,78%,,,,,
IEM Road to Rio 2022 Americas RMR,05 October 2022,nouns,eg,7,16,1,eg,nouns,39%,,,,,
IEM Road to Rio 2022 Americas RMR,05 October 2022,complexity,atk,16,5,1,complexity,atk,52%,,,,,
IEM Road to Rio 2022 Americas RMR,05 October 2022,liquid,teamone,16,6,1,liquid,teamone,45%,,,,,
IEM Road to Rio 2022 Americas RMR,05 October 2022,9z,imperial,22,20,1,9z,imperial,5%,,,,,
IEM Road to Rio 2022 Americas RMR,05 October 2022,complexity,pain,16,7,1,complexity,pain,39%,,,,,
IEM Road to Rio 2022 Americas RMR,05 October 2022,nouns,infinity,16,2,1,nouns,infinity,78%,,,,,
IEM Road to Rio 2022 Americas RMR,05 October 2022,isurus,00Nation,10,16,1,00Nation,isurus,23%,,,,,
IEM Road to Rio 2022 Europe RMR A,06 October 2022,bne,astralis,16,3,1,bne,astralis,68%,,,,,
IEM Road to Rio 2022 Europe RMR A,06 October 2022,spirit,gl,22,20,1,spirit,gl,5%,,,,,
IEM Road to Rio 2022 Europe RMR A,06 October 2022,b8,fnatic,16,9,1,b8,fnatic,28%,,,,,
IEM Road to Rio 2022 Europe RMR A,06 October 2022,1win,g2,16,13,1,1win,g2,10%,,,,,
IEM Road to Rio 2022 Europe RMR A,06 October 2022,faze,sprout,2,1,3,faze,sprout,33%,,,,,
IEM Road to Rio 2022 Europe RMR A,06 October 2022,c9,nip,1,2,3,nip,c9,33%,,,,,
IEM Road to Rio 2022 Europe RMR A,06 October 2022,eternal fire,aurora,2,1,3,eternal fire,aurora,33%,,,,,
IEM Road to Rio 2022 Europe RMR A,06 October 2022,forze,ecstatic,2,0,3,forze,ecstatic,100%,,,,,
IEM Road to Rio 2022 Europe RMR B,06 October 2022,heroic,sangal,16,6,1,heroic,sangal,45%,,,,,
IEM Road to Rio 2022 Europe RMR B,06 October 2022,monte,Vitality,7,16,1,Vitality,monte,39%,,,,,
IEM Road to Rio 2022 Europe RMR B,06 October 2022,falcons,og,12,16,1,og,falcons,14%,,,,,
IEM Road to Rio 2022 Europe RMR B,06 October 2022,k23,mouz,10,16,1,mouz,k23,23%,,,,,
IEM Road to Rio 2022 Europe RMR B,06 October 2022,navi,Outsiders,2,0,3,navi,Outsiders,100%,,,,,
IEM Road to Rio 2022 Americas RMR,06 October 2022,mibr,atk,8,16,1,atk,mibr,33%,,,,,
IEM Road to Rio 2022 Americas RMR,06 October 2022,nouns,pain,8,16,1,pain,nouns,33%,,,,,
IEM Road to Rio 2022 Americas RMR,06 October 2022,imperial,00Nation,11,16,1,00Nation,imperial,19%,,,,,
IEM Road to Rio 2022 Americas RMR,06 October 2022,o plano,Furia,2,16,1,Furia,o plano,78%,,,,,
IEM Road to Rio 2022 Americas RMR,06 October 2022,eg,9z,2,1,3,eg,9z,33%,,,,,
IEM Road to Rio 2022 Americas RMR,06 October 2022,complexity,Liquid,1,2,3,Liquid,complexity,33%,,,,,
IEM Road to Rio 2022 Americas RMR,06 October 2022,teamone,infinity,2,0,3,teamone,infinity,100%,,,,,
IEM Road to Rio 2022 Americas RMR,06 October 2022,isurus,arctic,2,0,3,isurus,arctic,100%,,,,,
IEM Road to Rio 2022 Europe RMR A,07 October 2022,spirit,bne,2,0,3,spirit,bne,100%,,,,,
IEM Road to Rio 2022 Europe RMR A,07 October 2022,c9,1win,2,0,3,c9,1win,100%,,,,,
IEM Road to Rio 2022 Europe RMR A,07 October 2022,b8,sprout,1,2,3,sprout,b8,33%,,,,,
IEM Road to Rio 2022 Europe RMR A,07 October 2022,fnatic,eternal fire,2,0,3,fnatic,eternal fire,100%,,,,,
IEM Road to Rio 2022 Europe RMR A,07 October 2022,g2,gl,1,2,3,gl,g2,33%,,,,,
IEM Road to Rio 2022 Europe RMR A,07 October 2022,astralis,forze,0,2,3,forze,astralis,100%,,,,,
IEM Road to Rio 2022 Europe RMR B,07 October 2022,ence,big,2,0,3,ence,big,100%,,,,,
IEM Road to Rio 2022 Europe RMR B,07 October 2022,heet,saw,2,1,3,heet,saw,33%,,,,,
IEM Road to Rio 2022 Europe RMR B,07 October 2022,fantasy,illuminar,1,2,3,illuminar,fantasy,33%,,,,,
IEM Road to Rio 2022 Americas RMR,07 October 2022,furia,pain,2,0,3,furia,pain,100%,,,,,
IEM Road to Rio 2022 Americas RMR,07 October 2022,atk,9z,0,2,3,9z,atk,100%,,,,,
IEM Road to Rio 2022 Americas RMR,07 October 2022,complexity,00Nation,1,2,3,00Nation,complexity,33%,,,,,
IEM Road to Rio 2022 Americas RMR,07 October 2022,nouns,o plano,2,1,3,nouns,o plano,33%,,,,,
IEM Road to Rio 2022 Americas RMR,07 October 2022,imperial,teamone,2,1,3,imperial,teamone,33%,,,,,
IEM Road to Rio 2022 Americas RMR,07 October 2022,mibr,isurus,1,2,3,isurus,mibr,33%,,,,,
IEM Road to Rio 2022 Europe RMR A,08 October 2022,fnatic,1win,2,0,3,fnatic,1win,100%,,,,,
IEM Road to Rio 2022 Europe RMR A,08 October 2022,gl,b8,2,0,3,gl,b8,100%,,,,,
IEM Road to Rio 2022 Europe RMR A,08 October 2022,forze,bne,1,2,3,bne,forze,33%,,,,,
IEM Road to Rio 2022 Europe RMR B,08 October 2022,mouz,Vitality,1,2,3,Vitality,mouz,33%,,,,,
IEM Road to Rio 2022 Europe RMR B,08 October 2022,big,Heroic,0,2,3,Heroic,big,100%,,,,,
IEM Road to Rio 2022 Europe RMR B,08 October 2022,og,Outsiders,2,1,3,og,Outsiders,33%,,,,,
IEM Road to Rio 2022 Europe RMR B,08 October 2022,sangal,illuminar,2,0,3,sangal,illuminar,100%,,,,,
IEM Road to Rio 2022 Europe RMR B,08 October 2022,falcons,heet,2,1,3,falcons,heet,33%,,,,,
IEM Road to Rio 2022 Europe RMR B,08 October 2022,k23,monte,2,0,3,k23,monte,100%,,,,,
IEM Road to Rio 2022 Americas RMR,08 October 2022,pain,atk,2,0,3,pain,atk,100%,,,,,
IEM Road to Rio 2022 Americas RMR,08 October 2022,imperial,nouns,2,0,3,imperial,nouns,100%,,,,,
IEM Road to Rio 2022 Americas RMR,08 October 2022,complexity,isurus,2,1,3,complexity,isurus,33%,,,,,
IEM Road to Rio 2022 Europe RMR A,09 October 2022,spirit,C9,2,1,3,spirit,C9,33%,,,,,
IEM Road to Rio 2022 Europe RMR B,09 October 2022,big,k23,2,1,3,big,k23,33%,,,,,
IEM Road to Rio 2022 Europe RMR B,09 October 2022,vitality,Heroic,1,2,3,Heroic,vitality,33%,,,,,
IEM Road to Rio 2022 Europe RMR B,09 October 2022,mouz,sangal,2,1,3,mouz,sangal,33%,,,,,
IEM Road to Rio 2022 Europe RMR B,09 October 2022,og,Heroic,1,2,3,Heroic,og,33%,,,,,
IEM Road to Rio 2022 Europe RMR B,09 October 2022,outsiders,falcons,2,0,3,outsiders,falcons,100%,,,,,
IEM Road to Rio 2022 Americas RMR,09 October 2022,imperial,pain,2,0,3,imperial,pain,100%,,,,,
IEM Road to Rio 2022 Americas RMR,09 October 2022,complexity,imperial,1,2,3,imperial,complexity,33%,,,,,
IEM Road to Rio 2022 Americas RMR,09 October 2022,eg,Liquid,0,2,3,Liquid,eg,100%,,,,,
IEM Rio Major 2022 Challengers Stage,31 October 2022,MOUZ,Outsiders,16,6,1,MOUZ,Outsiders,45%,,,,,
IEM Rio Major 2022 Challengers Stage,31 October 2022,BNE,00Nation,16,3,1,BNE,00Nation,68%,,,,,
IEM Rio Major 2022 Challengers Stage,31 October 2022,BIG,FURIA,19,16,1,BIG,FURIA,9%,,,,,
IEM Rio Major 2022 Challengers Stage,31 October 2022,Vitality,Imperial,16,9,1,Vitality,Imperial,28%,,,,,
IEM Rio Major 2022 Challengers Stage,31 October 2022,00Nation,FURIA,6,16,1,FURIA,00Nation,45%,,,,,
IEM Rio Major 2022 Challengers Stage,31 October 2022,9z,GL,6,16,1,GL,9z,45%,,,,,
IEM Rio Major 2022 Challengers Stage,31 October 2022,OG,Greyhound,16,5,1,OG,Greyhound,52%,,,,,
IEM Rio Major 2022 Challengers Stage,31 October 2022,EG,IHC,16,9,1,EG,IHC,28%,,,,,
IEM Rio Major 2022 Challengers Stage,31 October 2022,C9,fnatic,17,19,1,fnatic,C9,6%,,,,,
IEM Rio Major 2022 Challengers Stage,31 October 2022,Outsiders,IHC,16,12,1,Outsiders,IHC,14%,,,,,
IEM Rio Major 2022 Challengers Stage,31 October 2022,EG,MOUZ,10,16,1,MOUZ,EG,23%,,,,,
IEM Rio Major 2022 Challengers Stage,31 October 2022,9z,Imperial,16,11,1,9z,Imperial,19%,,,,,
IEM Rio Major 2022 Challengers Stage,31 October 2022,OG,fnatic,13,16,1,fnatic,OG,10%,,,,,
IEM Rio Major 2022 Challengers Stage,31 October 2022,EG,9z,17,19,1,9z,EG,6%,,,,,
IEM Rio Major 2022 Challengers Stage,31 October 2022,BIG,Greyhound,16,6,1,BIG,Greyhound,45%,,,,,
IEM Rio Major 2022 Challengers Stage,31 October 2022,MOUZ,fnatic,2,1,3,MOUZ,fnatic,33%,,,,,
IEM Rio Major 2022 Challengers Stage,31 October 2022,GL,BNE,0,2,3,BNE,GL,100%,,,,,
IEM Rio Major 2022 Challengers Stage,31 October 2022,BIG,BNE,11,16,1,BNE,BIG,19%,,,,,
IEM Rio Major 2022 Challengers Stage,31 October 2022,Vitality,GL,10,16,1,GL,Vitality,23%,,,,,
IEM Rio Major 2022 Challengers Stage,31 October 2022,C9,Greyhound,17,19,1,Greyhound,C9,6%,,,,,
IEM Rio Major 2022 Challengers Stage,31 October 2022,Vitality,Outsiders,12,16,1,Outsiders,Vitality,14%,,,,,
IEM Rio Major 2022 Challengers Stage,31 October 2022,OG,FURIA,16,19,1,FURIA,OG,9%,,,,,
IEM Rio Major 2022 Challengers Stage,31 October 2022,00Nation,IHC,1,2,3,IHC,00Nation,33%,,,,,
IEM Rio Major 2022 Challengers Stage,01 November 2022,C9,Imperial,2,0,3,C9,Imperial,100%,,,,,
IEM Rio Major 2022 Challengers Stage,01 November 2022,OG,IHC,2,0,3,OG,IHC,100%,,,,,
IEM Rio Major 2022 Challengers Stage,01 November 2022,Outsiders,fnatic,2,0,3,Outsiders,fnatic,100%,,,,,
IEM Rio Major 2022 Challengers Stage,01 November 2022,EG,C9,0,2,3,C9,EG,100%,,,,,
IEM Rio Major 2022 Challengers Stage,01 November 2022,BIG,9z,2,0,3,BIG,9z,100%,,,,,
IEM Rio Major 2022 Challengers Stage,01 November 2022,Vitality,Greyhound,2,0,3,Vitality,Greyhound,100%,,,,,
IEM Rio Major 2022 Challengers Stage,01 November 2022,GL,FURIA,0,2,3,FURIA,GL,100%,,,,,
IEM Rio Major 2022 Challengers Stage,03 November 2022,OG,Vitality,1,2,3,Vitality,OG,33%,,,,,
IEM Rio Major 2022 Challengers Stage,03 November 2022,fnatic,9z,2,0,3,fnatic,9z,100%,,,,,
IEM Rio Major 2022 Challengers Stage,03 November 2022,GL,C9,0,2,3,C9,GL,100%,,,,,
IEM Rio Major 2022 Legends Stage,05 November 2022,MOUZ,Liquid,16,2,1,MOUZ,Liquid,78%,,,,,
IEM Rio Major 2022 Legends Stage,05 November 2022,FaZe,C9,14,16,1,C9,FaZe,7%,,,,,
IEM Rio Major 2022 Legends Stage,05 November 2022,Vitality,NAVI,21,25,1,NAVI,Vitality,9%,,,,,
IEM Rio Major 2022 Legends Stage,05 November 2022,NIP,fnatic,13,16,1,fnatic,NIP,10%,,,,,
IEM Rio Major 2022 Legends Stage,05 November 2022,MOUZ,BIG,7,16,1,BIG,MOUZ,39%,,,,,
IEM Rio Major 2022 Legends Stage,05 November 2022,NAVI,C9,14,16,1,C9,NAVI,7%,,,,,
IEM Rio Major 2022 Legends Stage,05 November 2022,Spirit,BNE,16,8,1,Spirit,BNE,33%,,,,,
IEM Rio Major 2022 Legends Stage,05 November 2022,Sprout,BIG,11,16,1,BIG,Sprout,19%,,,,,
IEM Rio Major 2022 Legends Stage,05 November 2022,Outsiders,Heroic,9,16,1,Heroic,Outsiders,28%,,,,,
IEM Rio Major 2022 Legends Stage,05 November 2022,FURIA,ENCE,16,6,1,FURIA,ENCE,45%,,,,,
IEM Rio Major 2022 Legends Stage,05 November 2022,Sprout,Liquid,5,16,1,Liquid,Sprout,52%,,,,,
IEM Rio Major 2022 Legends Stage,05 November 2022,FaZe,Vitality,6,16,1,Vitality,FaZe,45%,,,,,
IEM Rio Major 2022 Legends Stage,05 November 2022,SPIRIT,Furia,13,16,1,Furia,SPIRIT,10%,,,,,
IEM Rio Major 2022 Legends Stage,05 November 2022,Heroic,fnatic,16,2,1,Heroic,fnatic,78%,,,,,
IEM Rio Major 2022 Legends Stage,05 November 2022,navi,liquid,14,16,1,liquid,navi,7%,,,,,
IEM Rio Major 2022 Legends Stage,05 November 2022,spirit,Outsiders,14,16,1,Outsiders,spirit,7%,,,,,
IEM Rio Major 2022 Legends Stage,05 November 2022,faze,bne,1,2,3,bne,faze,33%,,,,,
IEM Rio Major 2022 Legends Stage,05 November 2022,FURIA,big,2,0,3,FURIA,big,100%,,,,,
IEM Rio Major 2022 Legends Stage,05 November 2022,ENCE,BNE,16,7,1,ENCE,BNE,39%,,,,,
IEM Rio Major 2022 Legends Stage,05 November 2022,nip,Outsiders,12,16,1,Outsiders,nip,14%,,,,,
IEM Rio Major 2022 Legends Stage,05 November 2022,mouz,vitality,19,17,1,mouz,vitality,6%,,,,,
IEM Rio Major 2022 Legends Stage,05 November 2022,ence,fnatic,7,16,1,fnatic,ence,39%,,,,,
IEM Rio Major 2022 Legends Stage,05 November 2022,heroic,c9,0,2,3,c9,heroic,100%,,,,,
IEM Rio Major 2022 Legends Stage,05 November 2022,Sprout,nip,2,0,3,Sprout,nip,100%,,,,,
IEM Rio Major 2022 Legends Stage,07 November 2022,navi,bne,2,0,3,navi,bne,100%,,,,,
IEM Rio Major 2022 Legends Stage,07 November 2022,mouz,Outsiders,0,2,3,Outsiders,mouz,100%,,,,,
IEM Rio Major 2022 Legends Stage,07 November 2022,ence,Vitality,2,0,3,ence,Vitality,100%,,,,,
IEM Rio Major 2022 Legends Stage,07 November 2022,big,fnatic,0,2,3,fnatic,big,100%,,,,,
IEM Rio Major 2022 Legends Stage,07 November 2022,Heroic,Liquid,2,1,3,Heroic,Liquid,33%,,,,,
IEM Rio Major 2022 Legends Stage,07 November 2022,spirit,sprout,2,0,3,spirit,sprout,100%,,,,,
IEM Rio Major 2022 Legends Stage,08 November 2022,mouz,ence,2,1,3,mouz,ence,33%,,,,,
IEM Rio Major 2022 Legends Stage,08 November 2022,big,NAVI,0,2,3,NAVI,big,100%,,,,,
IEM Rio Major 2022 Legends Stage,08 November 2022,liquid,spirit,1,2,3,spirit,liquid,33%,,,,,
,,,,,,,,,,,,,,
